URL,Page Type,Site Type
https://www.3qdept.com/,Homepage,Client
https://www.3qdept.com/services/seo/,Service,Client
https://www.3qdept.com/blog/marketing-to-generation-z-audiences/,Blog,Client
https://www.inseev.com/,Homepage,Competitor
https://www.inseev.com/seo-services-and-consulting/,Service,Competitor
https://www.inseev.com/blog/the-future-of-link-building/,Blog,Competitor
https://www.deptagency.com/en-us/,Homepage,Competitor
https://www.deptagency.com/en-us/services/,Service,Competitor
https://www.deptagency.com/en-us/insight/why-you-need-to-switch-to-google-analytics-4/,Blog,Competitor
https://www.seerinteractive.com/,Homepage,Competitor
https://www.seerinteractive.com/services/seo/,Service,Competitor
https://www.seerinteractive.com/blog/ux-checklist-landing-page-design/,Blog,Competitor